cve_id,vendor,product,repo_key,github_url,ref_kind,source_tags,verdict,confidence,audit_reason,product_repo_relation,product_repo_relation_score,vendor_owner_relation,vendor_owner_relation_score,metadata_product_hit,github_repo_http_status,github_repo_checked_url,github_repo_title,github_repo_description,stored_decision,stored_decision_rule,stored_fitness,stored_owner_score,stored_repo_score,stored_soft_tokens,stored_hard_tokens,repo_hard_tokens,repo_soft_tokens,metadata_nonproduct_terms,url_rejected_by_rule,cpe_uri,db_source,revised_policy_action,revised_policy_reason
CVE-2024-1902,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/d8e2e73efd53ab4e92cf47bbf4b639a9f08853d2,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-2081,fooplugins,foogallery,fooplugins@foogallery,https://github.com/fooplugins/foogallery,repo_or_file,Product,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/fooplugins/foogallery,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:fooplugins:foogallery:*:*:*:*:-:wordpress:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-23344,enalean,tuleap,enalean@tuleap,https://github.com/Enalean/tuleap/commit/0329e21d268510bc00fed707406103edabf10e42,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/enalean/tuleap,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:enalean:tuleap:*:*:*:*:enterprise:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-24706,forumone,wp-cfm,forumone@wp-cfm,https://github.com/forumone/wp-cfm/security/advisories/GHSA-2449-jmfc-gc7f,repo_or_file,Vendor Advisory,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/forumone/wp-cfm,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:forumone:wp-cfm:*:*:*:*:*:wordpress:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-25130,enalean,tuleap,enalean@tuleap,https://github.com/Enalean/tuleap/commit/57978a32508f5c6d0365419b6eaeb368aee20667,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/enalean/tuleap,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:enalean:tuleap:*:*:*:*:enterprise:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-30246,enalean,tuleap,enalean@tuleap,https://github.com/Enalean/tuleap/commit/a0ba0ae82a29eb8bfacef286778e5e49954f5316,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/enalean/tuleap,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:enalean:tuleap:*:*:*:*:community:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-3379,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/c57cd50fa0477fd2a2efe60810c0099eebd66f54,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-3501,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/17e95f6c99c7d5ac4ee5451c5857b97a12892c74,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-3502,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/17e95f6c99c7d5ac4ee5451c5857b97a12892c74,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2024-3504,lunary,lunary,lunary-ai@lunary,https://github.com/lunary-ai/lunary/commit/f7507f0949f6634f725ebb8da37c44f76542901f,commit,Patch,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.769031,N,404,https://github.com/lunary-ai/lunary,Page not found · GitHub · GitHub,,accept,score_threshold,0.9191607978309961,0.7690308509457033,1.0,,,,,,N,cpe:2.3:a:lunary:lunary:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
